engine,symbol,tf,profile,n_trades_batch,max_dd_%_batch,total_return_%_batch,win_rate_%_batch,profit_factor_batch,n_trades_causal,max_dd_%_causal,total_return_%_causal,win_rate_%_causal,profit_factor_causal,gate,stop
v6,BTCUSDT,D1,TRES_AGRESSIF,24,-13.2,-12.6,29.2,0.19,17,-14.4,-13.5,23.5,0.06,sans_regime,
v6,ETHUSDT,H4,FAIBLE,984,-6.9,151.2,47.9,2.3,997,-12.1,60.2,38.8,1.55,avec_regime,
v6,ETHUSDT,H4,FAIBLE,1365,-12.3,247.9,46.0,2.09,1363,-12.6,88.2,37.1,1.49,sans_regime,
v6,ETHUSDT,H4,MODERE,984,-13.1,529.7,47.7,2.51,997,-18.6,163.4,38.5,1.65,avec_regime,
v6,ETHUSDT,H4,MODERE,1365,-20.3,850.8,45.4,2.14,1363,-24.4,211.9,36.3,1.51,sans_regime,
v6,ETHUSDT,H4,AGRESSIF,984,-13.2,1400.9,47.7,2.77,997,-21.7,359.4,38.5,1.79,avec_regime,
v6,ETHUSDT,H4,AGRESSIF,1365,-22.4,2215.3,45.4,2.25,1363,-32.1,417.5,36.3,1.57,sans_regime,
v6,ETHUSDT,H4,TRES_AGRESSIF,984,-31.4,2233.5,46.0,2.84,997,-32.5,541.2,37.1,1.86,avec_regime,
v6,ETHUSDT,H4,TRES_AGRESSIF,1365,-34.6,3183.4,44.0,2.24,1363,-38.5,552.8,35.1,1.59,sans_regime,
v6,ETHUSDT,D1,FAIBLE,28,-1.0,3.8,71.4,5.99,30,-2.1,1.5,36.7,1.75,avec_regime,
v6,ETHUSDT,D1,FAIBLE,46,-1.9,6.2,65.2,3.68,50,-1.9,4.1,42.0,1.95,sans_regime,
v6,ETHUSDT,D1,MODERE,28,-2.3,8.3,71.4,5.34,30,-4.1,4.0,36.7,1.97,avec_regime,
v6,ETHUSDT,D1,MODERE,46,-5.1,13.3,65.2,3.28,50,-4.2,10.7,42.0,2.21,sans_regime,
v6,ETHUSDT,D1,AGRESSIF,28,-3.9,13.2,71.4,4.81,30,-6.0,7.0,36.7,2.11,avec_regime,
v6,ETHUSDT,D1,AGRESSIF,46,-9.2,21.4,65.2,3.0,50,-6.9,19.7,42.0,2.47,sans_regime,
v6,ETHUSDT,D1,TRES_AGRESSIF,28,-7.0,24.1,64.3,5.18,30,-11.5,13.1,33.3,2.25,avec_regime,
v6,ETHUSDT,D1,TRES_AGRESSIF,46,-16.1,34.6,56.5,2.67,50,-12.9,41.6,38.0,2.92,sans_regime,
v6,BNBUSDT,H4,FAIBLE,884,-8.9,79.2,46.8,1.79,1009,-13.1,16.3,40.6,1.25,avec_regime,
v6,BNBUSDT,H4,FAIBLE,1209,-8.0,134.7,47.4,1.89,1399,-17.2,46.3,41.2,1.37,sans_regime,
v6,BNBUSDT,H4,MODERE,884,-15.5,166.7,45.8,1.77,1009,-22.7,34.5,39.7,1.26,avec_regime,
v6,BNBUSDT,H4,MODERE,1209,-16.5,288.6,46.5,1.82,1399,-25.4,79.9,40.3,1.34,sans_regime,
v6,BNBUSDT,H4,AGRESSIF,884,-21.1,252.0,45.8,1.77,1009,-28.1,61.4,39.7,1.31,avec_regime,
v6,BNBUSDT,H4,AGRESSIF,1209,-24.5,462.0,46.5,1.81,1399,-31.7,121.8,40.3,1.36,sans_regime,
v6,BNBUSDT,H4,TRES_AGRESSIF,884,-30.2,443.6,44.8,1.91,1009,-30.6,177.9,39.2,1.49,avec_regime,
v6,BNBUSDT,H4,TRES_AGRESSIF,1209,-33.7,885.1,45.8,1.93,1399,-33.7,330.3,40.2,1.52,sans_regime,
v6,BNBUSDT,D1,FAIBLE,27,-1.5,3.0,48.1,2.35,12,-1.8,-1.6,16.7,0.15,avec_regime,
v6,BNBUSDT,D1,FAIBLE,32,-1.5,2.8,46.9,1.98,15,-2.2,-1.8,20.0,0.26,sans_regime,
v6,BNBUSDT,D1,MODERE,27,-3.2,6.7,48.1,2.5,12,-3.5,-3.2,16.7,0.15,avec_regime,
v6,BNBUSDT,D1,MODERE,32,-3.2,6.3,46.9,2.1,15,-4.4,-3.5,20.0,0.26,sans_regime,
v6,BNBUSDT,D1,AGRESSIF,27,-5.2,10.9,48.1,2.65,12,-5.1,-4.7,16.7,0.15,avec_regime,
v6,BNBUSDT,D1,AGRESSIF,32,-5.4,10.1,46.9,2.19,15,-6.5,-5.1,20.0,0.27,sans_regime,
v6,BNBUSDT,D1,TRES_AGRESSIF,27,-11.5,8.2,40.7,1.85,12,-7.8,-7.1,16.7,0.16,avec_regime,
v6,BNBUSDT,D1,TRES_AGRESSIF,32,-11.5,7.4,40.6,1.63,15,-9.3,-7.1,20.0,0.31,sans_regime,
v6,SOLUSDT,H4,FAIBLE,816,-6.6,200.6,51.2,2.87,847,-14.5,137.7,41.1,2.03,avec_regime,
v6,SOLUSDT,H4,FAIBLE,1199,-13.7,350.8,48.5,2.47,1239,-21.2,182.0,38.8,1.79,sans_regime,
v6,SOLUSDT,H4,MODERE,816,-15.4,672.9,50.2,2.81,847,-27.7,360.5,40.1,1.99,avec_regime,
v6,SOLUSDT,H4,MODERE,1199,-21.8,1652.0,47.5,2.5,1239,-35.8,603.8,37.9,1.81,sans_regime,
v6,SOLUSDT,H4,AGRESSIF,816,-27.4,1596.9,50.2,2.71,847,-40.7,762.7,40.1,2.01,avec_regime,
v6,SOLUSDT,H4,AGRESSIF,1199,-27.0,4721.1,47.5,2.47,1239,-46.9,1328.3,37.9,1.82,sans_regime,
v6,SOLUSDT,H4,TRES_AGRESSIF,816,-31.9,4431.3,49.3,2.84,847,-46.2,1648.2,39.0,2.1,avec_regime,
v6,SOLUSDT,H4,TRES_AGRESSIF,1199,-40.4,23878.4,46.8,2.71,1239,-53.1,4093.3,37.0,1.96,sans_regime,
v6,SOLUSDT,D1,FAIBLE,13,-1.7,-1.2,38.5,0.39,16,-2.2,4.8,56.2,3.19,avec_regime,
