symbol,tf,year,n_trades,return_%,sharpe,max_dd_%,win_rate_%,profit_factor
SOLUSDT,H1,2025,342,-6.8,-0.15,-28.9,25.7,1.07
SOLUSDT,H1,2026,168,-8.1,-0.63,-19.1,23.2,1.0
SOLUSDT,H4,2020,19,-0.3,-0.01,-5.3,21.1,0.87
SOLUSDT,H4,2021,90,57.7,2.5,-10.7,23.3,2.75
SOLUSDT,H4,2022,71,-7.2,-0.66,-14.3,18.3,0.76
SOLUSDT,H4,2023,72,71.4,2.45,-9.2,26.4,4.71
SOLUSDT,H4,2024,80,3.1,0.31,-7.3,26.2,1.24
SOLUSDT,H4,2025,104,-7.8,-0.63,-15.4,22.1,0.83
SOLUSDT,H4,2026,44,-10.3,-2.05,-11.7,25.0,0.37
SOLUSDT,D1,2021,12,21.9,1.47,-8.8,33.3,6.26
SOLUSDT,D1,2022,14,-4.0,-1.33,-7.2,14.3,0.21
SOLUSDT,D1,2023,11,42.7,2.25,-7.0,9.1,0.32
SOLUSDT,D1,2024,11,2.6,0.48,-4.1,27.3,1.8
SOLUSDT,D1,2025,10,-0.1,-0.01,-4.0,40.0,0.99
