symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
ETHUSDT,FAIBLE,2021,2190,4.0,101,0,57,18,False,True,2395,2021-02-03T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2022,2190,3.0,14,0,25,0,False,True,4944,2022-04-04T00:00:00.000000,3.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,FAIBLE,2023,2190,4.0,33,1,40,8,False,True,7192,2023-04-13T16:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2024,2196,4.0,65,0,51,4,False,True,9097,2024-02-25T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2025,2190,4.0,32,0,16,6,False,True,12307,2025-08-13T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2026,1087,1.0,0,0,3,0,False,False,13461,2026-02-21T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
ETHUSDT,MODERE,2020,2196,7.0,50,2,78,2,True,True,1951,2020-11-21T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2021,2190,7.0,101,2,57,18,True,True,2395,2021-02-03T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2022,2190,6.0,14,0,25,0,True,True,4944,2022-04-04T00:00:00.000000,6.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,MODERE,2023,2190,7.0,33,1,40,8,True,True,8407,2023-11-02T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2024,2196,7.0,65,3,51,4,True,True,10772,2024-11-30T08:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2025,2190,7.0,32,0,16,6,True,True,12307,2025-08-13T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2026,1087,1.0,0,0,3,0,False,False,13461,2026-02-21T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
ETHUSDT,AGRESSIF,2020,2196,10.0,50,2,78,2,True,True,1219,2020-07-22T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2021,2190,10.0,101,2,57,18,True,True,2212,2021-01-03T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
