symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
ETHUSDT,FAIBLE,2021,2190,4.0,97,0,57,18,False,True,2604,2021-02-03T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2022,2190,3.0,14,0,25,0,False,True,5153,2022-04-04T00:00:00.000000,3.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,FAIBLE,2023,2190,4.0,19,1,40,8,False,True,7401,2023-04-13T16:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2024,2196,4.0,65,0,51,4,False,True,9306,2024-02-25T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,FAIBLE,2025,2190,3.0,28,0,16,6,False,True,12060,2025-05-29T04:00:00.000000,3.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,FAIBLE,2026,1522,3.0,3,0,17,0,False,True,14859,2026-09-07T16:00:00.000000,2.0,0.0,1.0,0.0,2,0,False,False,True,False,2
ETHUSDT,MODERE,2019,209,0.0,0,0,0,0,False,False,1,2019-11-27T08:00:00.000000,0.0,0.0,0.0,0.0,0,0,False,False,False,False,0
ETHUSDT,MODERE,2020,2196,7.0,60,2,85,4,True,True,2315,2020-12-17T00:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2021,2190,7.0,97,2,57,18,True,True,4170,2021-10-22T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2022,2190,6.0,14,0,25,0,True,True,5153,2022-04-04T00:00:00.000000,6.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,MODERE,2023,2190,7.0,19,1,40,8,True,True,7401,2023-04-13T16:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2024,2196,7.0,65,3,51,4,True,True,9306,2024-02-25T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2025,2190,6.0,28,0,16,6,True,True,12351,2025-07-16T16:00:00.000000,5.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,2026,1522,5.0,3,0,17,0,False,True,14859,2026-09-07T16:00:00.000000,4.0,0.0,1.0,0.0,2,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2019,209,0.0,0,0,0,0,False,False,1,2019-11-27T08:00:00.000000,0.0,0.0,0.0,0.0,0,0,False,False,False,False,0
ETHUSDT,AGRESSIF,2020,2196,10.0,60,2,85,4,True,True,2160,2020-11-21T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2021,2190,10.0,97,2,57,18,True,True,2421,2021-01-03T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
