symbol,profile,n_trades_off,n_trades_on,return_off_%,return_on_%,max_dd_off_%,max_dd_on_%,n_target1_hits
BTCUSDT,AGRESSIF,275,275,26.7,26.7,-11.0,-11.0,0
BTCUSDT,TRES_AGRESSIF,285,285,25.6,25.6,-18.3,-18.3,0
ETHUSDT,AGRESSIF,271,271,13.2,13.2,-18.3,-18.3,0
ETHUSDT,TRES_AGRESSIF,279,279,29.6,29.6,-27.8,-27.8,0
BNBUSDT,AGRESSIF,277,277,32.6,32.6,-13.5,-13.5,0
BNBUSDT,TRES_AGRESSIF,288,288,70.0,70.0,-20.3,-20.3,0
SOLUSDT,AGRESSIF,159,159,32.4,32.4,-6.5,-6.5,0
SOLUSDT,TRES_AGRESSIF,166,166,63.5,63.5,-14.2,-14.2,0
