symbol,timeframe_exec,timeframe_stop,timeframe_gate,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
XRPUSDT,D1,"Hebdomadaire (UT+1, actif)","Mensuel (UT+2, DESACTIVE -- donnee insuffisante)",FAIBLE,0,0.0,0.0,,
XRPUSDT,D1,"Hebdomadaire (UT+1, actif)","Mensuel (UT+2, DESACTIVE -- donnee insuffisante)",MODERE,0,0.0,0.0,,
XRPUSDT,D1,"Hebdomadaire (UT+1, actif)","Mensuel (UT+2, DESACTIVE -- donnee insuffisante)",AGRESSIF,0,0.0,0.0,,
XRPUSDT,D1,"Hebdomadaire (UT+1, actif)","Mensuel (UT+2, DESACTIVE -- donnee insuffisante)",TRES_AGRESSIF,0,0.0,0.0,,
