symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
ETHUSDT,AGRESSIF,2020,2196,99.6,60,-2.8,4.6,38.3,2.11,61,-5.5,19.7,37.7,3.1
ETHUSDT,AGRESSIF,2021,2190,99.6,90,-15.1,-7.9,40.0,0.58,95,-20.4,-3.4,29.5,0.95
ETHUSDT,AGRESSIF,2022,2190,99.6,8,-2.0,-1.8,50.0,0.05,8,-2.0,-0.2,37.5,0.38
ETHUSDT,AGRESSIF,2023,2190,99.6,20,-4.7,4.6,40.0,2.83,37,-5.3,2.7,16.2,2.48
ETHUSDT,AGRESSIF,2024,2196,99.6,65,-5.3,4.6,32.3,1.79,72,-6.2,2.1,25.0,1.39
ETHUSDT,AGRESSIF,2025,2190,99.6,25,-5.0,9.2,40.0,5.09,35,-9.3,11.9,11.4,2.56
ETHUSDT,AGRESSIF,2026,1522,99.6,3,-0.2,0.1,66.7,4.23,3,-0.4,0.2,66.7,4.08
ETHUSDT,TRES_AGRESSIF,2019,209,99.6,0,0.0,0.0,,,0,0.0,0.0,,
ETHUSDT,TRES_AGRESSIF,2020,2196,99.6,60,-5.4,5.6,36.7,1.84,61,-9.7,12.9,36.1,2.02
ETHUSDT,TRES_AGRESSIF,2021,2190,99.6,91,-23.9,-13.9,38.5,0.55,96,-29.5,-14.6,28.1,0.67
ETHUSDT,TRES_AGRESSIF,2022,2190,99.6,8,-2.1,-1.9,50.0,0.08,8,-2.1,-0.3,37.5,0.49
ETHUSDT,TRES_AGRESSIF,2023,2190,99.6,21,-7.4,8.9,38.1,3.26,37,-5.3,2.6,16.2,2.42
ETHUSDT,TRES_AGRESSIF,2024,2196,99.6,68,-8.5,11.2,30.9,2.14,75,-9.2,7.4,24.0,1.74
ETHUSDT,TRES_AGRESSIF,2025,2190,99.6,28,-8.0,19.7,35.7,6.32,38,-13.1,31.6,10.5,4.63
ETHUSDT,TRES_AGRESSIF,2026,1522,99.6,3,-0.3,0.2,66.7,4.23,3,-0.4,0.2,66.7,4.08
BNBUSDT,FAIBLE,2020,1954,97.84,10,-0.7,0.5,50.0,2.38,10,-1.1,1.0,30.0,2.72
BNBUSDT,FAIBLE,2021,2190,97.84,79,-1.2,3.3,53.2,2.9,103,-5.6,6.5,43.7,1.72
BNBUSDT,FAIBLE,2022,2190,97.84,3,-0.2,0.1,66.7,1.67,3,-0.2,0.1,66.7,1.71
BNBUSDT,FAIBLE,2023,2190,97.84,25,-1.1,-0.7,36.0,0.55,29,-2.9,-1.2,24.1,0.81
BNBUSDT,FAIBLE,2024,2196,97.84,110,-3.5,-1.0,37.3,0.89,126,-9.9,-2.0,28.6,1.0
BNBUSDT,FAIBLE,2025,2190,97.84,49,-1.2,6.3,46.9,4.54,102,-4.1,10.3,31.4,3.21
BNBUSDT,FAIBLE,2026,1522,97.84,0,0.0,0.0,,,0,0.0,0.0,,
BNBUSDT,MODERE,2020,1954,97.84,10,-1.3,0.9,50.0,2.38,10,-2.2,2.3,30.0,2.93
BNBUSDT,MODERE,2021,2190,97.84,79,-2.4,7.0,53.2,3.0,103,-8.9,10.4,43.7,1.68
BNBUSDT,MODERE,2022,2190,97.84,3,-0.3,0.2,66.7,1.67,3,-0.4,0.2,66.7,1.71
BNBUSDT,MODERE,2023,2190,97.84,25,-2.2,-1.5,36.0,0.55,29,-4.1,-2.5,24.1,0.58
BNBUSDT,MODERE,2024,2196,97.84,110,-7.1,-1.5,37.3,0.94,126,-15.3,-1.5,28.6,1.07
BNBUSDT,MODERE,2025,2190,97.84,49,-3.5,15.3,46.9,5.17,102,-4.6,19.4,30.4,3.78
BNBUSDT,MODERE,2026,1522,97.84,0,0.0,0.0,,,0,0.0,0.0,,
BNBUSDT,AGRESSIF,2020,1954,97.84,10,-2.0,1.4,50.0,2.38,10,-3.2,3.5,30.0,3.01
BNBUSDT,AGRESSIF,2021,2190,97.84,79,-3.6,10.8,53.2,3.03,103,-10.5,16.1,42.7,1.8
BNBUSDT,AGRESSIF,2022,2190,97.84,3,-0.5,0.3,66.7,1.67,3,-0.6,0.4,66.7,1.71
BNBUSDT,AGRESSIF,2023,2190,97.84,25,-3.3,-2.2,36.0,0.55,29,-4.2,-2.5,24.1,0.59
BNBUSDT,AGRESSIF,2024,2196,97.84,110,-10.5,-1.8,37.3,0.97,126,-18.3,-3.8,28.6,0.98
BNBUSDT,AGRESSIF,2025,2190,97.84,49,-6.9,26.2,46.9,5.55,102,-6.0,23.9,29.4,3.56
BNBUSDT,AGRESSIF,2026,1522,97.84,0,0.0,0.0,,,0,0.0,0.0,,
BNBUSDT,TRES_AGRESSIF,2020,1954,97.84,10,-3.3,2.3,50.0,2.36,10,-4.5,4.5,30.0,2.73
BNBUSDT,TRES_AGRESSIF,2021,2190,97.84,81,-5.9,20.5,51.9,3.21,105,-12.0,38.5,41.9,2.36
BNBUSDT,TRES_AGRESSIF,2022,2190,97.84,3,-0.8,0.4,66.7,1.67,3,-1.0,0.6,66.7,1.71
BNBUSDT,TRES_AGRESSIF,2023,2190,97.84,25,-4.4,-3.1,36.0,0.53,29,-4.3,-2.4,24.1,0.63
BNBUSDT,TRES_AGRESSIF,2024,2196,97.84,113,-16.8,-0.8,36.3,1.07,129,-19.5,-2.6,27.9,1.04
BNBUSDT,TRES_AGRESSIF,2025,2190,97.84,55,-8.7,50.1,41.8,5.81,105,-7.8,29.9,28.6,3.53
BNBUSDT,TRES_AGRESSIF,2026,1522,97.84,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2020,653,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2021,2190,99.54,28,-0.6,1.5,50.0,2.48,38,-3.8,27.6,34.2,34.78
SOLUSDT,FAIBLE,2022,2190,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2023,2190,99.54,32,-0.7,6.2,62.5,19.81,38,-5.5,50.5,47.4,30.29
SOLUSDT,FAIBLE,2024,2196,99.54,61,-1.5,-0.6,42.6,0.78,70,-8.5,-0.4,37.1,1.11
SOLUSDT,FAIBLE,2025,2190,99.54,38,-0.7,1.1,36.8,2.24,39,-2.2,2.0,33.3,1.8
SOLUSDT,FAIBLE,2026,1522,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2020,653,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2021,2190,99.54,28,-1.1,3.4,50.0,2.66,38,-4.1,34.2,34.2,31.4
SOLUSDT,MODERE,2022,2190,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2023,2190,99.54,32,-2.1,14.8,62.5,22.56,38,-9.5,91.8,47.4,31.27
SOLUSDT,MODERE,2024,2196,99.54,61,-3.5,-1.8,42.6,0.71,70,-9.8,-1.9,34.3,0.91
SOLUSDT,MODERE,2025,2190,99.54,38,-1.4,2.1,36.8,2.24,39,-3.0,4.6,33.3,2.15
SOLUSDT,MODERE,2026,1522,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,AGRESSIF,2020,653,99.54,0,0.0,0.0,,,0,0.0,0.0,,
