symbol,profile,gate,stop,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
SOLUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1289,-19.3,163.9,40.1,1.74
SOLUSDT,FAIBLE,H4_valide_par_D1,D1_reel,349,-4.4,6.5,40.4,1.5
SOLUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT + canal_large/2,351,-9.4,23.6,40.2,1.72
SOLUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,349,-17.4,64.3,40.1,1.92
SOLUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1289,-30.1,547.8,39.4,1.78
SOLUSDT,MODERE,H4_valide_par_D1,D1_reel,349,-9.4,15.9,40.4,1.57
SOLUSDT,MODERE,H4_valide_par_D1,H4_meme_UT + canal_large/2,351,-19.1,56.3,39.9,1.78
SOLUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,349,-24.4,115.6,40.1,2.0
SOLUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1289,-36.1,1291.3,39.4,1.81
SOLUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,349,-14.3,27.9,40.4,1.62
SOLUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,351,-26.6,100.3,39.9,1.84
SOLUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,349,-37.7,237.8,39.5,2.17
SOLUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1289,-48.9,5470.6,38.9,2.02
SOLUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,349,-25.0,60.4,39.8,1.74
SOLUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,351,-39.6,204.6,39.3,2.01
