symbol,profile,variant,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BNBUSDT,AGRESSIF,baseline_v7 (sans_fibonacci),525,-24.1,40.5,41.9,1.38
BNBUSDT,AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",103,-10.8,8.9,43.7,1.51
BNBUSDT,AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",95,-11.3,6.3,42.1,1.41
BNBUSDT,AGRESSIF,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),4,-1.2,-0.8,25.0,0.35
BNBUSDT,AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",71,-6.2,12.6,45.1,2.24
BNBUSDT,TRES_AGRESSIF,baseline_v7 (sans_fibonacci),525,-32.5,65.6,41.0,1.46
BNBUSDT,TRES_AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",103,-13.3,9.1,42.7,1.47
BNBUSDT,TRES_AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",95,-13.7,6.4,41.1,1.38
BNBUSDT,TRES_AGRESSIF,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),4,-1.2,-0.8,25.0,0.35
BNBUSDT,TRES_AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",71,-6.7,12.6,43.7,2.14
SOLUSDT,FAIBLE,baseline_v7 (sans_fibonacci),339,-8.4,23.0,39.8,1.77
SOLUSDT,FAIBLE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",80,-4.4,1.0,31.2,1.18
SOLUSDT,FAIBLE,"fib_optimal [23%,50%] (entree_fraiche_seule)",67,-3.0,3.7,32.8,1.66
SOLUSDT,FAIBLE,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),8,-1.2,0.5,37.5,1.43
SOLUSDT,FAIBLE,"fib_favorable_incl_pyramide [23%,61.8%]",67,-3.1,-0.8,28.4,0.97
SOLUSDT,MODERE,baseline_v7 (sans_fibonacci),339,-17.4,55.0,39.5,1.83
SOLUSDT,MODERE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",80,-9.5,2.5,31.2,1.22
SOLUSDT,MODERE,"fib_optimal [23%,50%] (entree_fraiche_seule)",67,-6.9,7.9,32.8,1.71
SOLUSDT,MODERE,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),8,-2.0,-0.5,37.5,0.88
SOLUSDT,MODERE,"fib_favorable_incl_pyramide [23%,61.8%]",67,-7.2,-2.7,28.4,0.89
SOLUSDT,AGRESSIF,baseline_v7 (sans_fibonacci),339,-24.4,97.8,39.5,1.9
SOLUSDT,AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",80,-13.4,5.1,31.2,1.29
SOLUSDT,AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",67,-10.6,12.9,32.8,1.8
SOLUSDT,AGRESSIF,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),8,-2.0,-0.9,37.5,0.78
SOLUSDT,AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",67,-10.4,-3.8,28.4,0.9
SOLUSDT,TRES_AGRESSIF,baseline_v7 (sans_fibonacci),339,-37.7,196.5,38.9,2.07
SOLUSDT,TRES_AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",80,-17.5,11.0,31.2,1.43
SOLUSDT,TRES_AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",67,-15.9,19.3,32.8,1.86
SOLUSDT,TRES_AGRESSIF,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),8,-2.0,-1.0,37.5,0.74
SOLUSDT,TRES_AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",67,-14.0,-5.5,28.4,0.87
