asset,profile,entry,val_px,conf_px_h4,conf_px_ut2,val_i,conf_h4_i,conf_ut2_i
BTCUSDT,FAIBLE,45930.82,54719.82,60246.42,107295.12,,,
BTCUSDT,FAIBLE,45871.79,55024.8,59977.25,107236.09,,,
BTCUSDT,FAIBLE,45986.76,55178.76,59895.36,107351.06,,,
BTCUSDT,FAIBLE,46448.0,51039.57,55957.0,107812.3,,,
BTCUSDT,FAIBLE,44764.32,49169.12,54273.32,106128.62,,,
BTCUSDT,FAIBLE,45162.37,49177.37,54671.37,106526.67000000001,,,
BTCUSDT,FAIBLE,47792.52,52988.21,58482.21,109156.82,,,
BTCUSDT,FAIBLE,47639.8,52029.79000000001,58329.490000000005,109004.1,,,
BTCUSDT,FAIBLE,47044.67,51544.67,58053.67,108408.97,,,
BTCUSDT,FAIBLE,48985.5,54547.12,58203.49,110349.8,,,
BTCUSDT,FAIBLE,48846.11,54740.73,56283.91,110210.41,,,
BTCUSDT,FAIBLE,49212.4,55107.020000000004,56650.200000000004,110576.70000000001,,,
BTCUSDT,FAIBLE,48550.0,54444.62,55987.8,109914.3,,,
BTCUSDT,FAIBLE,49082.13,53402.13,55743.75,110446.43,,,
BTCUSDT,FAIBLE,50302.74,54862.75,55133.74,111667.04000000001,,,
BTCUSDT,FAIBLE,45375.83,56237.83,56237.83,106740.13,,,
BTCUSDT,FAIBLE,44630.29,47910.29,55492.29,105994.59,,,
BTCUSDT,FAIBLE,54820.01,64350.74,70527.29999999999,116184.31,,,
BTCUSDT,FAIBLE,54960.79,62367.6,70668.07999999999,116325.09,,,
BTCUSDT,FAIBLE,55075.01,62430.03,70782.29999999999,116439.31,,,
BTCUSDT,FAIBLE,55182.24,62024.02999999999,70889.53,116546.54000000001,,,
BTCUSDT,FAIBLE,56538.24,62989.759999999995,72691.03,117902.54000000001,,,
BTCUSDT,FAIBLE,56820.0,63574.92,73276.19,118184.3,,,
BTCUSDT,FAIBLE,57500.0,61811.520000000004,74477.13,118864.3,,,
BTCUSDT,FAIBLE,54638.97,58862.31,71810.23999999999,116003.27,,,
BTCUSDT,FAIBLE,59290.79,65640.79000000001,76680.39,120655.09,,,
BTCUSDT,FAIBLE,60086.78,66816.78,77756.72,121451.08,,,
BTCUSDT,FAIBLE,61507.6,69703.6,80382.04000000001,122871.9,,,
BTCUSDT,FAIBLE,61571.45,71297.82,78683.76999999999,122935.75,,,
BTCUSDT,FAIBLE,62175.0,71901.37,79287.32,123539.3,,,
BTCUSDT,FAIBLE,62634.83,69832.44,79747.15,123999.13,,,
BTCUSDT,FAIBLE,64219.99,71697.44,80046.37,125584.29000000001,,,
BTCUSDT,FAIBLE,64314.75,71914.75,79805.54000000001,125679.05,,,
BTCUSDT,FAIBLE,66918.39,75218.39,84453.8,128282.69,,,
BTCUSDT,FAIBLE,62869.5,71169.5,76645.16,124233.8,,,
BTCUSDT,FAIBLE,61186.92,67117.9,72256.92,124715.11,,,
BTCUSDT,FAIBLE,61687.75,67933.73000000001,72037.75,125215.94,,,
BTCUSDT,FAIBLE,61768.51,67412.51000000001,71368.51000000001,125296.70000000001,,,
BTCUSDT,FAIBLE,64782.64,73881.34,76431.34,128310.83,,,
BTCUSDT,FAIBLE,65259.14,74357.84,76907.84,128787.33,,,
BTCUSDT,FAIBLE,64426.99,71312.69,74225.69,127955.18,,,
BTCUSDT,FAIBLE,65568.38,72454.08,75367.08,129096.57,,,
BTCUSDT,FAIBLE,59214.54,64782.3,72809.23999999999,124791.43,,,
BTCUSDT,FAIBLE,58064.51,62867.33,72013.20999999999,123641.4,,,
BTCUSDT,FAIBLE,57315.72,63520.340000000004,70465.77,122892.61,,,
BTCUSDT,FAIBLE,46398.0,50071.8,54168.0,106552.68,,,
BTCUSDT,FAIBLE,46388.0,49902.9,54158.0,106542.68,,,
BTCUSDT,FAIBLE,46392.3,49874.700000000004,54162.3,106546.98,,,
BTCUSDT,FAIBLE,46580.9,49994.100000000006,54350.9,106735.57999999999,,,
BTCUSDT,FAIBLE,22433.0,23595.0,25376.4,76188.5,7538.0,7697.0,
BTCUSDT,FAIBLE,24741.0,28337.1,28337.1,78496.5,,,
BTCUSDT,FAIBLE,25090.2,28857.0,28857.0,78845.7,,,
BTCUSDT,FAIBLE,28543.9,30223.2,31248.7,82299.4,,,
BTCUSDT,FAIBLE,28005.9,29639.9,30710.7,81761.4,,,
